Case,Money,Rounds
1,923928,23
2,241872,43
3,60606,11
4,406655,43
5,801737,15
6,71303,21
7,620532,35
8,83513,19
9,880118,28
10,121789,22
11,790102,27
12,298273,77
13,353870,36
14,451987,16
15,981965,43
16,2535,9
17,192284,13
18,250368,19
19,238110,40
20,26733,34
21,721801,23
22,661240,40
23,558805,25
24,551379,25
25,211887,8
26,385607,40
27,777254,33
28,607824,19
29,251510,32
30,554316,35
31,17603,7
32,970819,28
33,371281,37
34,251760,23
35,193057,33
36,486671,29
37,420510,28
38,153659,50
39,248890,24
40,94571,14
41,197215,42
42,20319,7
43,703992,44
44,457980,28
45,496095,60
46,15528,27
47,644417,51
48,352763,21
49,58637,39
50,173330,46
